"Ticker
","Name
","Fund Type
","Industry Focus (Holdings Based)
","Geographic Focus (Holdings Based)
"
LITOX US Equity,LAZARD GLOBAL REALIT EQ-OPEN,Open-End Fund,Financial,N.A.
HNGFNCL HK Equity,HANG SENG GLB FIN SCT BD-A,Open-End Fund,Financial,N.A.
PFOPPIU ID Equity,POLAR FINANC OPPORT-I USD D,Open-End Fund,Financial,N.A.
TEFAX US Equity,FRANKLIN MUTUAL FIN SVCS-Z,Open-End Fund,Financial,N.A.
NWSOX US Equity,NWS INTERNATIONAL PROP-INST,Open-End Fund,Financial,N.A.
SILV12A KY Equity,SILVERDALE SP FUND 12,Open-End Fund,Financial,North America
PIPRUIA LX Equity,PRIVILEDGE-IN PT RMB.D USD-N,SICAV,Financial,N.A.
CNREX US Equity,COMMONWEALTH REAL ESTATE SEC,Open-End Fund,Financial,United States
GAMCOUI ID Equity,GAM STAR CREDIT OPP USD-INC,Open-End Fund,Financial,Western Europe
VGRNX US Equity,VANGUARD GL X-US RL EST-INST,Open-End Fund,Financial,N.A.
CCPGRSE CI Equity,CC PG RE SEC I,Open-End Fund,Banks,N.A.
SANGLFA ID Equity,SANLAM GLBL FINANCIAL F-BUSD,OEIC,Financial,N.A.
VAMIREB LX Equity,VAM-INTL REAL ESTATE EQTY-B,SICAV,Financial,N.A.
THAREA1 ID Equity,GEMCAP INV F-THIRD AV REV-A1,Open-End Fund,Financial,N.A.
EGLRX US Equity,ABERDEEN INTL RL EST EQ-INST,Open-End Fund,Financial,N.A.
GUGLMMA ID Equity,GUINNESS GL MONEY MANAGER-A,OEIC,Diversified Finan Serv,N.A.
POASOIU ID Equity,POLAR ASIAN OPP-I USD,Open-End Fund,Financial,N.A.
OPTISTR LE Equity,OPTIMUM STRUCTURED FUND,Open-End Fund,Diversified Finan Serv,Western Europe
BEARX US Equity,FEDERATED PRUDENT BEAR-A,Open-End Fund,Banks,United States
AGLPZAU LX Equity,ABERDEEN GLOBAL LST PR C-ZAU,SICAV,Financial,N.A.
OPRAX US Equity,OPPNHMR PREF SEC & INC-A,Open-End Fund,Financial,United States
APEIX US Equity,ALLIANZGI PREF SEC & INC-INS,Open-End Fund,Financial,United States
